retrieved;author_id;username;id;created_at(utc);lang;tweet;type;likes;quotes;replies;retweets;tweetcount;followers;following;url
04/08/2022 20:18:35;512613427;DangeRussWilson;1506257658868736002;22/03/2022 13:13:05;en;No wasted energy.;op;13781;92;242;1298;12211;5669811;119;https://twitter.com/twitter/status/1506257658868736002
04/08/2022 20:18:35;512613427;DangeRussWilson;1505747433673801731;21/03/2022 03:25:38;en;RT @Broncos: Can the season start already?  (via @NFL) https://t.co/sE77oXsKRg;retweeted;0;0;0;877;12211;5669811;119;https://twitter.com/twitter/status/1505747433673801731
04/08/2022 20:18:35;512613427;DangeRussWilson;1505575666481197056;20/03/2022 16:03:05;en;We are BLESSED!;op;23699;108;427;1580;12211;5669811;119;https://twitter.com/twitter/status/1505575666481197056
04/08/2022 20:18:35;512613427;DangeRussWilson;1505393260948168706;20/03/2022 03:58:16;en;Ice in the veins!;op;10797;46;275;452;12211;5669811;119;https://twitter.com/twitter/status/1505393260948168706
04/08/2022 20:18:35;512613427;DangeRussWilson;1505027314802839554;19/03/2022 03:44:08;en;Handles Crazy! No look! @a_willy03 https://t.co/SnoYFCI9zg;quoted;1121;1;27;48;12211;5669811;119;https://twitter.com/twitter/status/1505027314802839554
04/08/2022 20:18:35;512613427;DangeRussWilson;1505011788735127553;19/03/2022 02:42:26;en;We will all miss your words and brilliance @JohnClaytonNFL #RIPJohnClayton;op;17846;34;113;862;12211;5669811;119;https://twitter.com/twitter/status/1505011788735127553
04/08/2022 20:18:35;512613427;DangeRussWilson;1504944428296802305;18/03/2022 22:14:46;en;TLock! Grateful for every moment. Your relentless work ethic pre &amp  post practice. Your passion for others through words of poetry. Your miraculous toe taps on the sideline. I WILL FOREVER Believe in Tyler Lockett  Love you too bro! #ALLForHISGlory https://t.co/iLXBG4I5eM;quoted;5715;11;59;220;12211;5669811;119;https://twitter.com/twitter/status/1504944428296802305
04/08/2022 20:18:38;512613427;DangeRussWilson;1510019936344842248;01/04/2022 22:23:02;en;Chills… Love you @A_Willy03  Go Ladies Go! https://t.co/dvxIRlPOJk;quoted;571;0;15;25;12211;5669811;119;https://twitter.com/twitter/status/1510019936344842248
04/08/2022 20:18:38;512613427;DangeRussWilson;1509723102183317504;01/04/2022 02:43:31;en;Obsess over the Process. https://t.co/5zUWNwjuwk;op;5240;84;131;513;12211;5669811;119;https://twitter.com/twitter/status/1509723102183317504
04/08/2022 20:18:38;512613427;DangeRussWilson;1509673850292027394;31/03/2022 23:27:48;en;RT @ciara: Family Time💜  This book has brought so much joy to our family nights. @DangeRussWilson and I hope it does the same for you!! Gra…;retweeted;0;0;0;327;12211;5669811;119;https://twitter.com/twitter/status/1509673850292027394
04/08/2022 20:18:38;512613427;DangeRussWilson;1509614984229265410;31/03/2022 19:33:54;en;Congrats @Bwagz! You deserve it all Legend!   As we always say,  “Don’t get bored with consistency.”  Love you forever bro! 🐐;op;7785;59;105;353;12211;5669811;119;https://twitter.com/twitter/status/1509614984229265410
04/08/2022 20:18:38;512613427;DangeRussWilson;1509348198296477703;31/03/2022 01:53:47;en;RT @Buccaneers: Congratulations, Coach Bowles! https://t.co/uyU4hHIs8d;retweeted;0;0;0;5480;12211;5669811;119;https://twitter.com/twitter/status/1509348198296477703
04/08/2022 20:18:38;512613427;DangeRussWilson;1509206319869227012;30/03/2022 16:30:01;en;Jesus does Miracles!!!;op;35602;230;625;3835;12211;5669811;119;https://twitter.com/twitter/status/1509206319869227012
04/08/2022 20:18:38;512613427;DangeRussWilson;1509180848804806661;30/03/2022 14:48:48;en;Congrats on an amazing career! One of the best competitors I’ve ever gone against! https://t.co/Oohx4gQdYY;quoted;3623;6;55;163;12211;5669811;119;https://twitter.com/twitter/status/1509180848804806661
04/08/2022 20:18:38;512613427;DangeRussWilson;1508934070104834050;29/03/2022 22:28:11;en;RT @ajv: Fired up to be working on @localweather Beverage x NFTs - https://t.co/MwExZnOR70 https://t.co/3PkJxBhQqb;retweeted;0;0;0;75;12211;5669811;119;https://twitter.com/twitter/status/1508934070104834050
04/08/2022 20:18:38;512613427;DangeRussWilson;1508934049905065989;29/03/2022 22:28:06;en;Fired up for this 🔥 @ajv   Check it out ➡️ @localweather https://t.co/7OAix2EK55;quoted;318;9;36;41;12211;5669811;119;https://twitter.com/twitter/status/1508934049905065989
04/08/2022 20:18:38;512613427;DangeRussWilson;1508661109103874051;29/03/2022 04:23:32;en;Wilson to Jeudy. Rain or Shine.  Morning or Night.  @JerryJeudy 🏈 https://t.co/yt8BoNFKoQ;op;25495;880;511;2399;12211;5669811;119;https://twitter.com/twitter/status/1508661109103874051
04/08/2022 20:18:38;512613427;DangeRussWilson;1508443419307249669;28/03/2022 13:58:31;en;RT @GQSports: Russell Wilson and Ciara at the #VFOscars party https://t.co/474I9xeCiF;retweeted;0;0;0;169;12211;5669811;119;https://twitter.com/twitter/status/1508443419307249669
